Name,Translation
दना,dna
डैनियल,dinay
आश्नु,ashnu
कुंती,kunti
महावीर,maveer
रुचेंद्र,ruchender
शब्बेनौर,shabnul
डिम्पल,dimpal
सुदर्शन,sudarshan
प्रियंका,priyaka
तिकाराम,tikram
सुमेर,sum
ताकी,tika
द्या,dya
मार्जीना,marjeena
सानिया,sanya
नमिता,namita
शिवजी,shivaji
चारनजीत,charnjeet
रसूल,ras
रिजू,riju
रोहिल,roh
आस्मा,sma
गोल्डी,goldy
भारती,bharti
प्रियक,priya
धर्मेन्द्र,dharmendra
तनमई,tanam
मुद्रिका,mudrika
बेरागी,begi
ओमपाल,ompal
जमीला,jami
सत्यप्रकाश,satyakash
शबरा,shabra
नेंशी,neshi
राजवीर,rajveer
सुखीया,sukhiya
रुनिया,rinya
धर्मवीर,dharamveer
आनमिका,anmika
नेंसी,nesi
नरेंद्र,narend
छोटूराम,chotum
शिब,shib
अंशु,anshu
चांदा,chna
नादिर,nadir
आहिम,him
आमिल,aamil
पियारी,priya
धर्मेंद्र,dharamender
दिब्या,diya
गणेशी,gane
हीरा,hira
हुसैन,husin
अन्नु,annu
मन्नो,no
हर्षदीप,harshid
नाजदा,nada
भोजपाल,bhojal
जैनी,jay
सोमदेवी,somdevi
हर्षित,harisht
सारूफ,saru
निदा,nida
एस्राइल,serat
बिसान,bin
इकलाख,ikla
मंगोल,mang
साहेनाज,sahnaj
करमवीर,karmveer
हर्ष,har
महेंद्र,mender
अनुजा,anuja
जियोटी,jityo
माजरुला,majul
भुलाई,bhu
सहर,sa
नन्द,nand
मौसम,mo
सुखदेवी,sukhdevi
झिंगी,jeeghan
शेर,sher
सरीदेवी,sardivi
पवित्रा,patrav
आसरुद्दीन,asruddin
सयारी,sar
मुशीर,mushir
भविसय,bhavi
नवीना,navina
शैलेंद्र,shailender
वंदना,vana
आस्था,atha
कौशल,kashal
ओम्परकाश,omparkash
बबीता,bata
कार्तिक,kartik
मीर,meer
रुद्मल,rudam
नाजिम,naji
वत्सल,vatsal
हिमांसु,himan
सेल्वा,seva
लेमन,lem
श्री,shree
गुलुराम,gulram
जूही,joohi
खंचन,khan
मेहरुनिशा,meharisha
नामे,ne
अर्हियंत,arhit
मनश,man
रविकांत,ravatikan
सुनकी,suk
दरा,ra
रामदीन,ram
कासिश,kashi
साक्षाम,saksham
आरती,arti
बुपाल,bupal
धुरुव,dhurav
सूफिया,fiya
तनवीर,tanvir
दुनी,duni
दुर्गेश,durgesh
आनारा,anara
जहानी,jahan
जीतू,jeetu
तपस,tap
उर्वशी,urvashi
इरा,i
रूपेन,rupen
द्वंदवा,ddev
पर्मिता,parmita
कलुआ,koo
हीरालाल,heeralal
शन्नो,shan
इस्लामुदीन,islamu
लीलादेवी,lekvid
डाक्स,daks
रीमाशा,risha
मामीनी,mee
धर्मवेश,dharamvesh
सुर्गायन,surgayan
उंकर,ukar
आबिदा,ada
मनवी,manvi
देवीदीन,devi
फूला,luc
नवीदा,navi
लाश्मा,shma
जूली,juli
लम्भू,lum
रविंदर,ravinder
फूली,puli
छानोयार,chhanor
आसु,a
किशन,kishan
सिकेंदर,sikender
निताशा,nishta
प्रसन्त,prsant
दिनकर,dinkar
अयूब,ayub
डीपका,dika
वीपल,veepal
सलमान,salam
जब्बार,babar
सावित्री,savitri
धर्मबीर,dharambir
कुशुमावती,kushmati
आफरीन,afrin
समीमा,sam
जनेश,janesh
दौलत,dolat
रामली,ram
सुरेश,suresh
मन्वेंद्र,manender
धना,dhana
उमेश,ush
मोहसीन,mohan
दूधनाथ,dunath
अक्रम,akram
पनाज,naj
चंद्रिका,chanderka
बागा,ba
विपुल,viul
अखिल,akhil
मामोइता,mamota
चेतना,chetna
गुरुजीत,gurjeet
सरबारी,sarbir
मंदोथी,nodhi
शिमरान,shimr
पल्लु,lu
आदित्य,aditya
यक्ष,yaksh
स्मृति,smar
नरबहादुर,narbad
विकास,vika
नर्मदा,narda
हसीना,haseena
खुश,khush
सारिका,sarka
अंकुश,ankush
अंगद,ang
शेख,shekh
धीरेन्द्र,dhirender
मामता,mita
सलीम,seem
दीन,deen
श्रीकांत,srikant
आलपना,alana
केएम0,kem
विद्या,vid
नौशाद,nadu
भार्कह,bharka
रूही,ruhi
चिंकू,chink
अरसलान,arsal
सरोजनी,sarojani
गुफरान,gufran
सुस्री,suri
ताज,taj
प्रभात्यशी,pratish
दीक्षा,diksha
सहरान,sana
सुचित्रा,surat
आरधना,ardhana
यिनिता,yita
वैशान्वी,vaishana
रजना,raj
यादुवंशी,yadvish
परधुमन,pardhum
रोसीना,rosina
हबीब,hab
बिमला,bim
सुजीत,sujeet
जनकिदास,jakida
अमीन,amin
रामकिशन,ramkish
दिनीश,dish
नरहरि,narhi
मीनत,mit
आइशा,asha
दीपनारायण,deepnarayan
जेनाब,jenab
रागनी,ragani
उड़ी,udi
बीराजभूषण,beerubh
यादव,ya
सिना,sina
अवस्था,avtha
विधि,vi
सिमरन,simaran
सुकन्या,sukya
आयेशा,aaysha
सैएमन,seem
आशीष,aashish
सन्नी,sanni
तबस्सुम,tabsum
शाजिद,shaji
शींसर,shars
शिमला,shimal
नरेंदर,narendar
खसभू,khbhu
शाहिबा,shahi
अंशुमान,anshum
सुरेखा,surkha
अरु,ar
अम्लेश,amlesh
शमीम,shami
इंद्रनाथ,indrnath
नार,ar
सोहेल,sohal
शैलजा,shaibal
अर्णबजित,arjanat
रामन,ram
सालू,salu
रविंदर,ravinder
शैलेश,shailesh
मुर्शिदा,mursida
तरंनुम,tarnum
सत्वीदा,satvi
जमना,jam
आलिशा,alisha
त्रिलोक,trilok
चंद,chand
सायदा,sada
उदय,uda
अमुदा,uda
अवफेश,avesh
दीपक,deek
आयेशा,aaysha
हरप्रीत,harprit
बृजपाल,bripal
माशली,mashi
जेटा,te
अक्काश,akash
बंती,banty
योगेंद्र,yognder
सोसन,so
खुमा,uma
चंदा,chand
किरंति,kiranti
अनामिका,anmika
पातन,pat
साहिन,sahin
टूल,tul
इमराना,imar
कुनोद,kunod
प्र्यानिका,pritika
अमर,amar
गुलाफशा,gulasha
मंगल,mang
चंद्रकांता,chanderka
अख्लेश,akhlesh
तानिया,taniya
साइशा,sa
रुकमणि,rukmani
पुन्नेट,punte
शिवानी,shiv
अय्यर,ayar
रूकमणि,rukmani
बलराज,braj
शाहनाम,shahm
मंजूला,manju
साहुन,sahun
रामहेतु,ramet
राजिबुल,rajul
सुस्मिता,sumsta
काशिश,kash
राजबाला,rajbal
बल,bal
बिक्रम,kram
उर्मिल,urmil
दिशाद,dish
मंजिंदर,manjinder
सुप्रिया,suriya
अल्केश,lesh
काजुल,kajul
मनमथ,manth
जिस्म,sim
आरिफून,arfi
मनोजकुमार,manumed
सौरब,saura
मेवा,me
अभिजित,abhit
तार्ननुम,tarnum
तनय,tana
परम,par
रितेश,ritesh
मंजू,manju
बैजनाथ,bainath
मंदू,manu
निर्मला,nirmal
होरम,hor
सान,san
हुकम,hum
अनन्या,anya
बिगन,bin
ओंकारा,omkar
इश्तकार,ishtar
नूरनबी,noorin
सबीला,sabi
रितुंजय,rityunja
सुब्रती,subti
प्रभातीलाल,prabhtla
श्सी,shee
त्यारा,tyara
मनु,manu
परमानंद,paraman
पूल,pul
मयंक,may
जानकी,janki
रामफरे,ramper
मिथुन,mitthun
हेरा,hera
सुबे,sub
जीतेंदर,jitender
मोहम्मद,mod
रियाजुद्धीन,riyajuddin
देवेश्वारि,devashi
सलोनी,salo
रामभा,ram
सोबन,so
सेठी,seti
लावली,love
बेंजीर,benderi
थारु,tur
हुमा,h
धुर्व,dhur
सन्हा,na
शर्जप्रित,sharjit
उज्वल,ujval
रिजुल,riul
मिस,m
डाक्च,dak
वामन,van
दीपेन्द्र,deepender
डीपी,deep
